episode,avg_return,loss,theta_width_deg
785,695.437816,18.299428,5.00
786,752.208597,26.695610,5.00
787,654.683486,14.159242,5.00
788,699.709870,31.603259,5.00
789,730.577127,64.591736,5.00
790,725.928289,8.696742,5.00
791,738.681093,3.263427,5.00
792,779.368008,5.036606,5.00
793,674.722323,6.396500,5.00
794,580.161484,17.596148,5.00
795,598.793980,194.381654,5.00
796,521.248552,58.040946,5.00
797,602.992529,17.567169,5.00
798,666.777944,91.257619,5.00
799,615.614716,24.604844,5.00
800,726.703384,10.953521,5.00
801,570.197456,130.952648,5.00
802,696.768599,11.947384,5.00
803,751.524682,16.461484,5.00
804,619.121256,75.599702,5.00
805,677.237027,32.430777,5.00
806,786.229418,3.715482,5.00
807,728.939413,5.037934,5.00
808,649.035166,6.441344,5.00
809,692.605020,14.231096,5.00
810,735.394735,13.853219,5.00
811,696.055805,57.076025,5.00
812,758.332343,20.115511,5.00
813,685.359635,15.921472,5.00
814,745.551740,22.457007,5.00
815,707.821152,98.152641,5.00
816,711.336088,15.431720,5.00
817,687.917779,150.070541,5.00
818,726.370467,272.318115,5.00
819,743.903942,7.261192,5.00
820,780.960501,4.459640,5.00
821,696.417263,9.886769,5.00
822,779.482835,8.525012,5.00
823,743.031422,16.878402,5.00
824,702.004001,176.094289,5.00
825,744.871343,8.282131,5.00
826,740.732683,9.295945,5.00
827,676.591093,6.026182,5.00
828,725.789241,22.688289,5.00
829,796.427582,5.544544,5.00
830,794.935936,7.413185,5.00
831,785.053200,3.267372,5.00
832,785.280382,5.397597,5.00
833,731.977485,15.193857,5.00
834,680.020281,84.841139,5.00
835,723.380913,8.148828,5.00
836,676.578894,5.554729,5.00
837,669.684211,21.268332,5.00
838,714.901125,23.625240,5.00
839,656.594552,28.307493,5.00
840,781.530006,6.050057,5.00
841,765.212624,16.998762,5.00
842,772.121504,9.608694,5.00
843,728.272341,9.640547,5.00
844,764.293794,8.132018,5.00
845,755.657046,14.324596,5.00
846,795.572422,9.087741,5.00
847,756.267846,4.928317,5.00
848,797.489649,14.426611,5.00
849,662.507437,6.750123,5.00
850,763.557272,9.538550,5.00
851,681.727374,129.012052,5.00
852,799.393297,5.254153,5.00
853,770.667586,3.275213,5.00
854,737.458207,12.914925,5.00
855,713.144788,205.932681,5.00
856,761.283998,20.539757,5.00
857,756.818301,8.546582,5.00
858,776.967002,5.155053,5.00
859,736.672245,7.364868,5.00
860,763.812912,3.757064,5.00
861,769.056807,6.495962,5.00
862,653.184552,97.600498,5.00
863,750.638829,8.532918,5.00
864,775.716821,9.128615,5.00
865,711.275705,127.663115,5.00
866,783.196099,4.616425,5.00
867,719.670509,8.036913,5.00
868,742.795357,48.603140,5.00
